# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "24" "-F" "GFF" "-t" "gene" "-g" "ID" "-s" "2" "-a" "/mnt/data/transcriptomica/iperez/proyectofinal/data/genomes/E_coli_and_T4_fixed.gff" "-o" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/featureCounts/gene_counts.txt" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam
gene-b0152	ENA|U00096|U00096.3	170575	171465	+	891	5	28	18	19	39	12	38	63	277	157	237	345	155	290	441
gene-b0153	ENA|U00096|U00096.3	171462	173444	+	1983	13	42	45	34	78	28	94	95	1791	338	354	679	248	568	684
gene-b0154	ENA|U00096|U00096.3	173602	174882	-	1281	317	1020	628	1710	2245	954	4570	3602	2660	7910	10621	14259	6479	13630	12495
gene-b4765	ENA|U00096|U00096.3	175048	175095	+	48	1	1	0	0	4	1	6	9	14	25	17	58	13	23	31
gene-b0155	ENA|U00096|U00096.3	175107	176528	+	1422	44	152	114	139	307	107	305	411	1125	1498	2226	3399	831	1946	1846
gene-b4728	ENA|U00096|U00096.3	176552	176617	+	66	0	0	0	0	0	0	1	1	0	1	2	2	0	0	1
gene-b0156	ENA|U00096|U00096.3	176610	176954	+	345	126	332	218	496	971	280	1224	1333	776	2800	3566	4557	1932	4434	3933
gene-b0157	ENA|U00096|U00096.3	177001	177624	-	624	24	90	44	97	182	74	274	268	507	711	1161	1378	421	1007	766
gene-b0158	ENA|U00096|U00096.3	177662	178462	-	801	37	117	67	161	293	125	412	408	608	1071	1546	1988	625	1192	1239
gene-b0159	ENA|U00096|U00096.3	178455	179153	-	699	310	1183	798	2369	3629	1602	5619	5281	3581	8351	12437	16354	6239	14773	12156
gene-b0160	ENA|U00096|U00096.3	179237	180754	+	1518	66	173	116	220	377	125	373	342	700	2418	3181	4556	1550	3378	3246
gene-b0161	ENA|U00096|U00096.3	180884	182308	+	1425	173	698	476	1039	2301	1190	2500	3288	3335	4037	5617	8711	2749	6897	6148
gene-b0162	ENA|U00096|U00096.3	182463	183620	+	1158	9	15	8	17	58	26	40	68	781	121	209	303	82	213	177
gene-b0163	ENA|U00096|U00096.3	183709	184095	-	387	48	186	126	180	356	116	254	298	387	1898	3178	4786	1569	4060	2929
gene-b0164	ENA|U00096|U00096.3	184257	185069	-	813	5	20	12	39	57	25	88	76	160	246	436	570	110	226	257
gene-b0166	ENA|U00096|U00096.3	185123	185947	-	825	945	3332	2181	9532	11949	5391	18260	14716	8974	26357	36453	49116	19175	42041	33676
gene-b0167	ENA|U00096|U00096.3	185978	188650	-	2673	61	247	140	231	418	164	528	577	1059	1833	2566	3958	1368	3039	2985
gene-b0168	ENA|U00096|U00096.3	188712	189506	-	795	249	878	619	1370	2679	1205	4407	4289	2892	6430	9546	14567	5597	14482	13277
gene-b4414	ENA|U00096|U00096.3	189712	189847	+	136	103	567	439	1106	1821	500	4182	3436	1088	5569	2151	10592	5469	7514	10508
gene-b0169	ENA|U00096|U00096.3	189874	190599	+	726	3670	8785	7357	20903	30585	13559	54222	40060	26931	78057	82612	160306	69101	136178	170585
gene-b0170	ENA|U00096|U00096.3	190857	191708	+	852	2354	5262	4873	15634	20413	10635	38229	28531	20476	56180	55307	123973	51600	111391	128522
gene-b0171	ENA|U00096|U00096.3	191855	192580	+	726	179	482	346	822	1644	612	2881	2505	2082	4384	5305	7848	3815	7310	9451
gene-b0172	ENA|U00096|U00096.3	192872	193429	+	558	539	1599	1141	2706	4997	1940	8528	8320	4922	14562	21001	28626	10497	29148	24321
gene-b0173	ENA|U00096|U00096.3	193521	194717	+	1197	83	234	178	240	440	171	708	714	867	1732	2095	2839	1101	2545	2270
gene-b4809	ENA|U00096|U00096.3	194784	194844	+	61	6	22	18	41	77	29	110	83	76	252	265	383	147	397	339
gene-b0174	ENA|U00096|U00096.3	194903	195664	+	762	120	349	295	425	992	384	1507	1671	1422	3349	4453	5806	1526	4491	3377
gene-b0175	ENA|U00096|U00096.3	195677	196534	+	858	111	287	223	350	727	289	1093	1198	1392	2734	2894	4401	1606	4262	3298
gene-b0176	ENA|U00096|U00096.3	196546	197898	+	1353	261	601	467	864	2147	852	3107	3536	3015	6922	8552	12601	3675	8980	8638
gene-b0177	ENA|U00096|U00096.3	197928	200360	+	2433	901	2442	1954	3781	6869	2948	11387	10081	8445	22495	27313	39085	16445	37848	36785
gene-b0178	ENA|U00096|U00096.3	200482	200967	+	486	738	2174	1605	4745	6799	2837	10937	8895	5821	20355	29705	43290	16700	36550	34547
gene-b0179	ENA|U00096|U00096.3	200971	201996	+	1026	706	2286	1633	3330	6096	2445	11787	10253	6231	23272	31870	45069	17166	36610	38603
gene-b0180	ENA|U00096|U00096.3	202101	202556	+	456	246	689	473	1249	2229	938	4244	3796	2704	6361	8518	11220	3999	9621	7349
gene-b0181	ENA|U00096|U00096.3	202560	203348	+	789	798	2483	2084	4987	8097	3457	13761	11027	7084	16910	23155	27705	10991	25024	19963
gene-b0182	ENA|U00096|U00096.3	203348	204496	+	1149	179	649	458	809	1538	604	3305	3136	2816	7322	9117	11687	4029	8214	8771
gene-b0183	ENA|U00096|U00096.3	204493	205089	+	597	62	236	182	246	506	216	920	965	972	2216	3000	3359	1273	2556	2162
gene-b0184	ENA|U00096|U00096.3	205126	208608	+	3483	366	1119	856	1638	3253	1337	5235	4853	4270	10921	14702	17368	6269	15787	12901
gene-b0185	ENA|U00096|U00096.3	208621	209580	+	960	503	1371	1030	2065	3474	1378	6216	5404	3397	12172	16910	20543	8283	19828	17394
gene-b0186	ENA|U00096|U00096.3	209679	211820	+	2142	23	63	46	96	158	75	257	248	1032	511	693	977	368	706	663
gene-b0187	ENA|U00096|U00096.3	211877	212266	+	390	15	30	26	39	75	31	106	81	279	233	302	444	159	458	351
gene-b0188	ENA|U00096|U00096.3	212331	213629	+	1299	37	91	78	107	212	84	359	287	700	766	1035	1377	511	1315	1040
gene-b0189	ENA|U00096|U00096.3	213678	213932	-	255	42	97	71	110	255	79	171	221	197	1087	2130	3113	826	2443	1972
gene-b4406	ENA|U00096|U00096.3	213925	214125	-	201	48	158	129	200	333	133	348	422	465	1576	2393	4375	1383	3889	3121
gene-b0190	ENA|U00096|U00096.3	214291	214836	+	546	41	154	112	178	312	127	497	557	556	1015	1404	2016	700	1856	1370
gene-b0191	ENA|U00096|U00096.3	214833	215255	+	423	9	46	31	53	149	63	186	205	181	471	622	865	318	687	586
gene-b0192	ENA|U00096|U00096.3	215269	215979	+	711	39	151	86	157	359	107	451	494	690	1133	1610	2256	724	1858	1606
gene-b0193	ENA|U00096|U00096.3	216179	217003	-	825	1	11	2	9	14	4	33	18	221	58	109	111	36	68	76
gene-b0194	ENA|U00096|U00096.3	217057	218775	-	1719	968	2670	1912	5210	8174	3665	17309	14448	9045	20699	24769	27689	13532	32527	27768
gene-b0195	ENA|U00096|U00096.3	218887	219594	-	708	79	263	183	297	517	203	930	795	835	2804	3653	4381	1452	3253	2944
gene-b0196	ENA|U00096|U00096.3	219591	219995	-	405	60	265	165	294	433	211	808	666	606	2274	2587	3934	1584	4237	3011
gene-b0197	ENA|U00096|U00096.3	220113	220928	-	816	321	765	680	1944	2367	1098	3675	2682	2291	8634	10403	18068	7217	14649	15819
gene-b0198	ENA|U00096|U00096.3	220968	221621	-	654	46	100	90	141	228	85	352	317	511	1323	1380	2321	942	1746	2143
gene-b0199	ENA|U00096|U00096.3	221614	222645	-	1032	77	250	164	238	399	172	569	653	591	1163	1187	1685	745	2487	1842
gene-b0200	ENA|U00096|U00096.3	222833	223408	+	576	60	180	110	149	336	133	420	529	700	1086	1624	2783	810	2072	1715
gene-b0201	ENA|U00096|U00096.3	223771	225312	+	1542	210	2472	660	1963	1592	383	1206	679	814	363	825	761	631	544	1473
gene-b0202	ENA|U00096|U00096.3	225381	225457	+	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0203	ENA|U00096|U00096.3	225500	225575	+	76	0	0	1	1	1	0	2	0	0	2	5	3	1	1	0
gene-b0204	ENA|U00096|U00096.3	225759	228662	+	2904	287	1661	432	1794	1450	279	775	563	827	347	892	729	506	453	959
gene-b0205	ENA|U00096|U00096.3	228756	228875	+	120	0	3	2	0	12	3	0	9	45	0	6	3	6	3	6
gene-b0206	ENA|U00096|U00096.3	228928	229004	+	77	1	9	1	17	17	7	51	51	46	86	77	148	24	103	81
gene-b0207	ENA|U00096|U00096.3	229167	229970	+	804	9	28	23	62	90	52	116	128	348	266	365	735	188	479	410
gene-b0208	ENA|U00096|U00096.3	229967	230881	-	915	23	84	51	78	142	62	173	159	498	793	1061	1910	608	1540	1400
gene-b0209	ENA|U00096|U00096.3	231122	231922	+	801	131	420	237	411	822	295	682	739	687	4884	7125	12102	3222	6737	7410
gene-b0210	ENA|U00096|U00096.3	231926	232549	+	624	18	76	56	65	163	72	133	178	244	1182	1894	2759	689	1378	1227
gene-b0211	ENA|U00096|U00096.3	232597	233955	-	1359	380	1412	858	1629	3501	1223	6465	7080	4279	18372	24681	24942	8241	23354	15444
gene-b0212	ENA|U00096|U00096.3	234027	234782	-	756	45	159	107	200	470	136	674	663	644	1722	2508	3234	1060	2663	1762
gene-b4815	ENA|U00096|U00096.3	234288	234320	+	33	0	0	0	0	3	0	7	4	8	15	21	44	11	19	18
gene-b0213	ENA|U00096|U00096.3	234816	235538	+	723	17	84	66	125	216	71	212	228	478	1471	2392	3271	866	1758	1750
gene-b0214	ENA|U00096|U00096.3	235535	236002	-	468	26	89	43	96	209	74	301	304	319	799	1166	1525	451	1078	957
gene-b0215	ENA|U00096|U00096.3	236067	236798	+	732	70	187	142	217	482	137	555	613	524	2208	3204	4401	1235	3114	2758
gene-b0216	ENA|U00096|U00096.3	236931	237007	+	77	2	11	8	3	24	5	29	32	40	129	204	226	68	154	132
gene-b0217	ENA|U00096|U00096.3	237335	238120	+	786	3	14	9	12	46	16	104	129	324	108	172	186	51	71	78
gene-b4586	ENA|U00096|U00096.3	238257	238736	-	480	0	0	0	0	0	0	0	1	20	0	1	0	0	0	0
gene-b0219	ENA|U00096|U00096.3	239419	240189	-	771	37	135	109	181	270	113	313	260	636	1244	1974	3026	974	2397	2309
gene-b0220	ENA|U00096|U00096.3	240343	240816	+	474	13	33	22	56	107	42	127	156	456	398	604	920	314	811	651
gene-b0221	ENA|U00096|U00096.3	240859	243303	-	2445	20	54	33	43	77	31	100	114	1263	352	553	741	186	508	520
gene-b0222	ENA|U00096|U00096.3	243543	244121	+	579	202	585	423	822	1297	546	1833	1840	1367	5662	8100	11736	4438	11386	8143
gene-b0223	ENA|U00096|U00096.3	244327	245094	+	768	59	217	147	293	530	219	677	739	689	2607	4209	5742	1724	4113	3675
gene-b0224	ENA|U00096|U00096.3	245065	245805	-	741	107	345	161	303	674	255	1201	1279	935	3034	3610	4745	1465	4237	2566
gene-b0225	ENA|U00096|U00096.3	245961	246239	-	279	5	14	13	25	64	15	46	63	82	261	401	527	138	278	282
gene-b0226	ENA|U00096|U00096.3	246242	246502	-	261	14	79	45	105	176	65	243	293	187	634	901	1587	464	1117	1082
gene-b0227	ENA|U00096|U00096.3	246712	247461	+	750	0	1	0	3	4	3	8	6	101	16	27	48	9	19	17
gene-b0228	ENA|U00096|U00096.3	247637	248134	+	498	1	1	0	0	3	0	5	5	94	12	22	46	15	28	20
gene-b0231	ENA|U00096|U00096.3	250898	251953	+	1056	10	46	24	42	71	24	97	62	723	318	452	659	212	462	530
gene-b0232	ENA|U00096|U00096.3	252005	252298	+	294	2	10	8	15	30	7	29	32	183	148	169	293	74	151	169
gene-b0233	ENA|U00096|U00096.3	252301	252699	+	399	1	7	9	9	33	9	30	20	124	151	159	263	65	105	174
gene-b0234	ENA|U00096|U00096.3	252709	253161	+	453	1	7	5	6	5	9	11	14	104	65	61	106	20	32	55
gene-b0237	ENA|U00096|U00096.3	254259	255716	-	1458	746	2630	1675	5038	7993	3270	11856	11010	6765	19588	30616	40825	14988	37697	28740
gene-b0238	ENA|U00096|U00096.3	255977	256435	+	459	232	866	581	720	1905	675	3141	4122	2744	6050	7957	9003	2809	9060	4984
gene-b0239	ENA|U00096|U00096.3	256527	257771	+	1245	112	470	289	510	849	313	1026	1164	1258	4161	5968	8520	3029	7020	6084
gene-b4710	ENA|U00096|U00096.3	257923	258426	-	504	1	0	0	1	3	0	2	1	11	1	2	2	0	1	2
gene-b4709	ENA|U00096|U00096.3	258345	258620	-	276	1	2	3	5	8	1	16	9	5	29	58	83	34	60	35
gene-b0241	ENA|U00096|U00096.3	259045	260100	-	1056	1	8	5	11	21	10	14	18	275	66	102	156	40	78	90
gene-b0242	ENA|U00096|U00096.3	260388	261491	+	1104	315	1026	749	1205	1779	700	3714	3258	2219	8170	10102	12898	5730	14953	12893
gene-b0243	ENA|U00096|U00096.3	261503	262756	+	1254	345	966	704	1482	2002	890	4855	3927	2854	8877	9819	12099	6505	15297	12750
gene-b0244	ENA|U00096|U00096.3	262871	262946	+	76	4	18	16	24	48	13	84	77	49	190	170	404	127	248	254
gene-b0245	ENA|U00096|U00096.3	263328	263669	-	342	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gene-b0246	ENA|U00096|U00096.3	263690	264007	-	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b4504	ENA|U00096|U00096.3	264026	264247	-	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0247	ENA|U00096|U00096.3	264256	264732	-	477	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gene-b0248	ENA|U00096|U00096.3	264748	265206	-	459	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gene-b0249	ENA|U00096|U00096.3	265304	265543	-	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0250	ENA|U00096|U00096.3	265620	266087	-	468	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gene-b0251	ENA|U00096|U00096.3	266110	266553	-	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0252	ENA|U00096|U00096.3	267184	268005	-	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0253	ENA|U00096|U00096.3	268097	268960	-	864	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gene-b0254	ENA|U00096|U00096.3	269289	270182	-	894	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gene-b0256	ENA|U00096|U00096.3	270603	271754	+	1152	1	2	3	3	8	1	7	6	17	54	61	83	26	59	61
gene-b4690	ENA|U00096|U00096.3	272580	272654	+	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0258	ENA|U00096|U00096.3	272847	273992	+	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0259	ENA|U00096|U00096.3	274101	275081	-	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0260	ENA|U00096|U00096.3	275325	276728	+	1404	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene-b0261	ENA|U00096|U00096.3	276715	277647	+	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0262	ENA|U00096|U00096.3	277756	278802	-	1047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0264	ENA|U00096|U00096.3	279178	279681	-	504	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene-b0265	ENA|U00096|U00096.3	279600	279875	-	276	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
gene-b0266	ENA|U00096|U00096.3	280385	280735	-	351	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
gene-b0267	ENA|U00096|U00096.3	280829	281983	-	1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0268	ENA|U00096|U00096.3	282278	283186	+	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0269	ENA|U00096|U00096.3	283201	285168	+	1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0270	ENA|U00096|U00096.3	285395	286777	+	1383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0271	ENA|U00096|U00096.3	286789	288399	+	1611	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gene-b0272	ENA|U00096|U00096.3	288404	289162	-	759	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gene-b0273	ENA|U00096|U00096.3	289301	290305	-	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b4766	ENA|U00096|U00096.3	290275	290370	-	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b4688	ENA|U00096|U00096.3	290510	290638	+	129	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
gene-b0274	ENA|U00096|U00096.3	290649	291152	-	504	0	0	0	0	0	0	0	0	3	1	6	1	1	0	2
gene-b0275	ENA|U00096|U00096.3	291071	291346	-	276	2	2	3	7	17	6	23	26	13	50	59	95	45	69	61
gene-b0276	ENA|U00096|U00096.3	291500	292231	+	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0277	ENA|U00096|U00096.3	292322	292948	-	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0278	ENA|U00096|U00096.3	293220	293918	-	699	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene-b0279	ENA|U00096|U00096.3	293945	294799	-	855	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gene-b4729	ENA|U00096|U00096.3	294918	295142	-	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0280	ENA|U00096|U00096.3	295139	295579	-	441	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0281	ENA|U00096|U00096.3	295696	297096	-	1401	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene-b0282	ENA|U00096|U00096.3	297381	297791	-	411	1	0	2	10	7	3	7	11	240	35	54	82	15	46	31
gene-b0283	ENA|U00096|U00096.3	297770	298726	-	957	2	16	3	16	41	13	39	47	593	136	216	313	87	217	212
gene-b0284	ENA|U00096|U00096.3	298736	300934	-	2199	6	23	19	20	27	15	41	68	1039	127	236	257	98	264	237
gene-b0285	ENA|U00096|U00096.3	300931	301887	-	957	2	1	2	8	9	1	9	9	380	17	41	43	19	53	33
gene-b0286	ENA|U00096|U00096.3	301884	302573	-	690	1	4	1	3	9	2	10	4	142	17	28	29	13	24	29
gene-b0287	ENA|U00096|U00096.3	302991	303605	+	615	253	752	466	2060	3120	1190	4760	4630	3041	8593	11262	16113	5155	12406	7816
gene-b0288	ENA|U00096|U00096.3	303853	304182	-	330	1	9	5	17	36	10	31	57	101	76	124	201	36	225	118
gene-b0289	ENA|U00096|U00096.3	304495	305205	-	711	2	14	13	17	37	6	30	35	254	150	250	395	101	243	289
gene-b0290	ENA|U00096|U00096.3	305174	306817	-	1644	7	19	15	28	72	19	48	60	515	186	338	522	146	368	316
gene-b0291	ENA|U00096|U00096.3	306807	309332	-	2526	2	5	0	12	19	6	21	22	1198	58	88	146	44	119	118
gene-b0292	ENA|U00096|U00096.3	309358	310026	-	669	0	0	1	2	2	2	6	3	91	10	13	20	5	15	16
gene-b0293	ENA|U00096|U00096.3	310084	310671	-	588	3	5	2	3	3	4	8	7	191	15	17	25	6	27	16
gene-b0294	ENA|U00096|U00096.3	310746	311336	-	591	0	1	2	4	3	1	5	13	190	13	19	19	4	18	12
gene-b0295	ENA|U00096|U00096.3	312112	312339	+	228	0	2	3	6	21	4	29	26	145	68	62	118	30	120	66
gene-b4506	ENA|U00096|U00096.3	312374	312514	-	141	4	1	2	3	6	3	17	8	73	48	47	70	28	57	41
gene-b0296	ENA|U00096|U00096.3	312514	312777	-	264	2	7	6	15	24	9	26	33	74	74	75	115	42	99	87
gene-b4671	ENA|U00096|U00096.3	313141	313242	-	102	0	1	0	0	1	0	1	1	29	1	1	4	0	5	4
gene-b0298	ENA|U00096|U00096.3	315291	315590	+	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0299	ENA|U00096|U00096.3	315587	316453	+	867	0	0	0	1	0	0	0	0	7	0	1	2	1	0	0
gene-b0301	ENA|U00096|U00096.3	317726	318319	-	594	0	0	1	1	1	0	0	4	297	6	6	5	3	6	6
gene-b0303	ENA|U00096|U00096.3	318331	318567	-	237	0	0	0	2	0	0	1	0	22	2	4	1	2	3	0
gene-b0304	ENA|U00096|U00096.3	318676	320001	-	1326	0	2	3	8	11	4	11	15	566	34	36	57	18	58	48
gene-b0305	ENA|U00096|U00096.3	320227	321081	+	855	6	12	2	20	25	4	26	46	338	79	105	141	35	114	67
gene-b0306	ENA|U00096|U00096.3	321608	322327	+	720	6	15	11	13	26	12	20	19	325	106	210	392	77	250	155
gene-b0307	ENA|U00096|U00096.3	322338	323765	+	1428	5	32	13	40	58	21	48	74	1031	286	471	800	180	681	319
gene-b0308	ENA|U00096|U00096.3	323758	324453	+	696	7	19	14	15	31	8	28	46	984	114	129	280	55	221	108
gene-b0310	ENA|U00096|U00096.3	324696	325364	-	669	1	7	7	5	11	5	20	9	143	11	13	22	5	14	22
gene-b0311	ENA|U00096|U00096.3	325577	327247	-	1671	40	91	93	188	295	154	427	396	810	626	809	1648	775	1593	2828
gene-b0312	ENA|U00096|U00096.3	327261	328733	-	1473	69	126	108	201	329	151	442	451	812	561	792	1442	732	1438	2571
gene-b0313	ENA|U00096|U00096.3	328747	329334	-	588	24	73	54	74	160	53	216	242	320	383	429	845	389	714	1140
gene-b0314	ENA|U00096|U00096.3	329463	331496	+	2034	21	41	45	65	124	49	243	226	1280	286	436	594	231	450	659
gene-b4730	ENA|U00096|U00096.3	331802	331876	+	75	0	0	0	0	0	0	1	1	13	2	4	1	0	1	0
gene-b0315	ENA|U00096|U00096.3	332371	333459	+	1089	5	41	23	63	132	41	252	348	574	275	426	416	141	449	229
gene-b0316	ENA|U00096|U00096.3	333501	334433	-	933	7	30	20	18	52	22	59	48	362	339	523	752	158	410	467
gene-b0317	ENA|U00096|U00096.3	334525	335022	-	498	0	1	2	0	2	2	1	5	377	6	6	7	3	12	4
gene-b0318	ENA|U00096|U00096.3	335280	335885	+	606	6	17	7	17	39	12	31	29	299	150	183	362	88	193	166
gene-b0319	ENA|U00096|U00096.3	335925	336788	+	864	0	2	2	3	13	6	19	8	241	32	55	90	17	45	42
gene-b0320	ENA|U00096|U00096.3	336778	338325	+	1548	1	8	2	8	11	6	16	22	541	26	58	77	22	80	44
gene-b0321	ENA|U00096|U00096.3	338325	339743	+	1419	3	8	2	12	12	7	22	30	778	27	52	57	28	88	64
gene-b0322	ENA|U00096|U00096.3	339769	340089	+	321	0	1	1	1	4	1	3	5	93	3	11	11	4	14	12
gene-b0323	ENA|U00096|U00096.3	340165	341115	+	951	1	7	4	5	17	4	12	20	410	20	25	48	16	76	51
gene-b0324	ENA|U00096|U00096.3	341125	342507	+	1383	19	85	52	110	143	62	195	197	623	513	715	1008	393	1028	1015
gene-b0325	ENA|U00096|U00096.3	342884	343933	+	1050	16	48	23	92	113	45	148	165	933	318	440	628	201	510	461
gene-b0326	ENA|U00096|U00096.3	344176	344991	+	816	0	1	1	4	5	1	13	12	141	13	15	26	3	5	8
gene-b4845	ENA|U00096|U00096.3	345252	345434	+	183	2	3	7	10	24	8	39	51	27	67	31	181	27	112	127
gene-b0327	ENA|U00096|U00096.3	345404	345649	+	246	0	2	1	15	27	11	52	38	79	98	182	224	31	127	110
gene-b0328	ENA|U00096|U00096.3	345666	346337	-	672	2	3	1	3	10	0	12	15	324	48	73	114	28	79	72
gene-b0329	ENA|U00096|U00096.3	346484	346759	+	276	1	9	6	20	36	8	45	31	124	80	152	188	62	121	79
gene-b0330	ENA|U00096|U00096.3	346857	348443	-	1587	1	7	3	1	8	2	3	3	399	9	20	38	14	30	21
gene-b0331	ENA|U00096|U00096.3	348682	349572	+	891	1	2	1	3	7	1	5	9	496	19	27	49	11	26	26
gene-b0333	ENA|U00096|U00096.3	350012	351181	+	1170	0	3	2	3	12	0	10	13	358	21	40	45	13	31	25
gene-b0334	ENA|U00096|U00096.3	351215	352666	+	1452	3	3	2	4	8	1	4	5	603	13	15	23	10	20	23
gene-b0335	ENA|U00096|U00096.3	352706	354592	+	1887	1	10	4	9	22	2	18	28	1377	48	55	136	31	96	95
gene-b0336	ENA|U00096|U00096.3	354922	356181	+	1260	51	96	66	124	181	71	289	388	947	571	419	898	918	1112	2408
gene-b0337	ENA|U00096|U00096.3	356171	357454	+	1284	128	238	178	432	636	230	1188	1024	1035	2257	2397	3437	2840	4343	7966
gene-b0338	ENA|U00096|U00096.3	357791	358690	-	900	7	40	24	48	88	30	130	141	353	226	340	442	184	487	426
